DH	INJV	Xt	Mt	XMt	NDH
-90.24381	2.42	0	4	0.22124	-497.2111
-81.2801	2.42	0.87463	3.95335	0.44505	-447.82422
-67.93044	2.42	1.73893	3.90724	0.67145	-374.27238
-58.3894	2.42	2.59292	3.86167	0.90043	-321.70469
-48.74201	2.42	3.43658	3.81661	1.13198	-268.55103
-42.23962	2.42	4.26993	3.77207	1.36612	-232.72519
-37.28968	2.42	5.09295	3.72804	1.60284	-205.45276
-34.28713	2.42	5.90566	3.6845	1.84214	-188.90979
-31.82865	2.42	6.70804	3.64145	2.08401	-175.36445
-28.92903	2.42	7.50011	3.59888	2.32847	-159.38857
-27.83474	2.42	8.28185	3.55678	2.57551	-153.35945
-26.62815	2.42	9.05327	3.51514	2.82513	-146.71158
-25.23083	2.42	9.81438	3.47396	3.07732	-139.01283
-23.8944	2.42	10.56516	3.43323	3.3321	-131.6496
-23.01885	2.42	11.30562	3.39294	3.58946	-126.8256
-22.29359	2.42	12.03576	3.35309	3.8494	-122.82969
	--	12.75559	3.31366	--	
